"T","Points:0","Points:1","Points:2"
273,20000,1.5e+05,0
385.75,20000,1.49e+05,0
495.85,20000,1.48e+05,0
602.87,20000,1.47e+05,0
706.43,20000,1.46e+05,0
805.55,20000,1.45e+05,0
898.76,20000,1.44e+05,0
985.07,20000,1.43e+05,0
1063.1,20000,1.42e+05,0
1133.8,20000,1.41e+05,0
1197.3,20000,1.4e+05,0
1253.6,20000,1.39e+05,0
1303.2,20000,1.38e+05,0
1346.3,20000,1.37e+05,0
1383,20000,1.36e+05,0
1414.1,20000,1.35e+05,0
1440.9,20000,1.34e+05,0
1463.9,20000,1.33e+05,0
1483.4,20000,1.32e+05,0
1499.8,20000,1.31e+05,0
1513.5,20000,1.3e+05,0
1524.6,20000,1.29e+05,0
1533.6,20000,1.28e+05,0
1540.9,20000,1.27e+05,0
1547,20000,1.26e+05,0
1551.9,20000,1.25e+05,0
1555.9,20000,1.24e+05,0
1559.1,20000,1.23e+05,0
1561.7,20000,1.22e+05,0
1563.9,20000,1.21e+05,0
1565.8,20000,1.2e+05,0
1567.5,20000,1.19e+05,0
1569,20000,1.18e+05,0
1570.5,20000,1.17e+05,0
1572,20000,1.16e+05,0
1573.4,20000,1.15e+05,0
1574.7,20000,1.14e+05,0
1576.1,20000,1.13e+05,0
1577.4,20000,1.12e+05,0
1578.8,20000,1.11e+05,0
1580.2,20000,1.1e+05,0
1581.5,20000,1.09e+05,0
1582.9,20000,1.08e+05,0
1584.2,20000,1.07e+05,0
1585.6,20000,1.06e+05,0
1586.9,20000,1.05e+05,0
1588.3,20000,1.04e+05,0
1589.6,20000,1.03e+05,0
1591,20000,1.02e+05,0
1592.3,20000,1.01e+05,0
1593.7,20000,1e+05,0
1595,20000,99000,0
1596.3,20000,98000,0
1597.6,20000,97000,0
1599,20000,96000,0
1600.3,20000,95000,0
1601.6,20000,94000,0
1602.8,20000,93000,0
1604.1,20000,92000,0
1605.4,20000,91000,0
1606.6,20000,90000,0
1607.9,20000,89000,0
1609.1,20000,88000,0
1610.3,20000,87000,0
1611.5,20000,86000,0
1612.6,20000,85000,0
1613.7,20000,84000,0
1614.8,20000,83000,0
1615.9,20000,82000,0
1616.9,20000,81000,0
1617.9,20000,80000,0
1618.9,20000,79000,0
1619.9,20000,78000,0
1620.8,20000,77000,0
1621.5,20000,76000,0
1622,20000,75000,0
1622.3,20000,74000,0
1622.5,20000,73000,0
1622.7,20000,72000,0
1622.8,20000,71000,0
nan,20000,70000,0
nan,20000,69000,0
1622.9,20000,68000,0
1622.9,20000,67000,0
1623,20000,66000,0
1623,20000,65000,0
1623,20000,64000,0
1623,20000,63000,0
1623,20000,62000,0
1623,20000,61000,0
1623,20000,60000,0
1623,20000,59000,0
1623,20000,58000,0
1623,20000,57000,0
1623,20000,56000,0
1623,20000,55000,0
1623,20000,54000,0
1623,20000,53000,0
1623,20000,52000,0
1623,20000,51000,0
1623,20000,50000,0
1623,20000,49000,0
1623,20000,48000,0
1623,20000,47000,0
1623,20000,46000,0
1623,20000,45000,0
1623,20000,44000,0
1623,20000,43000,0
1623,20000,42000,0
1623,20000,41000,0
1623,20000,40000,0
1623,20000,39000,0
1623,20000,38000,0
1623,20000,37000,0
1623,20000,36000,0
1623,20000,35000,0
1623,20000,34000,0
1623,20000,33000,0
1623,20000,32000,0
1623,20000,31000,0
1623,20000,30000,0
1623,20000,29000,0
1623,20000,28000,0
1623,20000,27000,0
1623,20000,26000,0
1623,20000,25000,0
1623,20000,24000,0
1623,20000,23000,0
1623,20000,22000,0
1623,20000,21000,0
1623,20000,20000,0
1623,20000,19000,0
1623,20000,18000,0
1623,20000,17000,0
1623,20000,16000,0
1623,20000,15000,0
1623,20000,14000,0
1623,20000,13000,0
1623,20000,12000,0
1623,20000,11000,0
1623,20000,10000,0
1623,20000,9000,0
1623,20000,8000,0
1623,20000,7000,0
1623,20000,6000,0
1623,20000,5000,0
1623,20000,4000,0
1623,20000,3000,0
1623,20000,2000,0
1623,20000,1000,0
1623,20000,0,0
